Metodo,Zona,Sitio,Buzo,Replica,Tiempo toma de datos,Tiempo digitalización de datos,Tiempo Total,Fecha,Minutos toma de datos,Minutos digitalización de datos,Tiempo Total,Día,Transecto
Fotocuadrantes,Planicie,1,A,1,12:22:00 AM,12:31:00 AM,12:53:00 AM,07/10/09,22,31,53,7,Planicie_1
Fotocuadrantes,Planicie,1,C,1,12:21:00 AM,12:22:00 AM,12:43:00 AM,07/10/09,21,22,43,7,Planicie_1
Fotocuadrantes,Planicie,1,B,1,12:30:00 AM,12:35:00 AM,01:05:00 AM,07/10/09,30,35,65,7,Planicie_1
Fotocuadrantes,Planicie,1,A,2,12:18:00 AM,12:28:00 AM,12:46:00 AM,10/10/09,18,28,46,10,Planicie_1
Fotocuadrantes,Planicie,1,C,2,12:14:00 AM,12:23:00 AM,12:37:00 AM,10/10/09,14,23,37,10,Planicie_1
Fotocuadrantes,Planicie,1,B,2,12:22:00 AM,12:28:00 AM,12:50:00 AM,10/10/09,22,28,50,10,Planicie_1
Fotocuadrantes,Planicie,2,A,1,12:26:00 AM,12:18:00 AM,12:44:00 AM,07/10/09,26,18,44,7,Planicie_2
Fotocuadrantes,Planicie,2,C,1,12:19:00 AM,12:28:00 AM,12:47:00 AM,07/10/09,19,28,47,7,Planicie_2
Fotocuadrantes,Planicie,2,B,1,12:26:00 AM,12:27:00 AM,12:53:00 AM,07/10/09,26,27,53,7,Planicie_2
Fotocuadrantes,Planicie,2,A,2,12:19:00 AM,12:28:00 AM,12:47:00 AM,10/10/09,19,28,47,10,Planicie_2
Fotocuadrantes,Planicie,2,C,2,12:15:00 AM,12:23:00 AM,12:38:00 AM,10/10/09,15,23,38,10,Planicie_2
Fotocuadrantes,Planicie,2,B,2,12:19:00 AM,12:35:00 AM,12:54:00 AM,10/10/09,19,35,54,10,Planicie_2
Fotocuadrantes,Planicie,3,A,1,12:20:00 AM,12:27:00 AM,12:47:00 AM,07/10/09,20,27,47,7,Planicie_3
Fotocuadrantes,Planicie,3,C,1,12:18:00 AM,12:23:00 AM,12:41:00 AM,07/10/09,18,23,41,7,Planicie_3
